
Mon, 28 Sep 2015 5:50:39 PM,
3,9,9,0,
3990,2,1,SAXOPHONE,HARP,JAZZ,SODA,HAIR,PILOT,SAXOPHONE,HARP,BASE,TAXONOMIC,33.6947998806,SAXOPHONE,HARP,32.3741936061,0.461588070495,0.859018204035,
3990,2,2,BEE,BUTTERFLY,HONEY,ASPHALT,COACH,PLIERS,BEE,BUTTERFLY,BASE,TAXONOMIC,29.6160263739,BEE,BUTTERFLY,28.8326799194,0.359151954646,0.42419449985,
3990,2,3,MONKEY,BEAR,BANANA,AIRPLANE,HAMMER,PLUG,MONKEY,BEAR,BASE,TAXONOMIC,6.88617488369,MONKEY,BEAR,6.04825948691,0.236312904977,0.601602491806,
3990,2,4,CHAIR,SOFA,LEGS,BREAD,BALL,KEYBOARD,SOFA,CHAIR,TAXONOMIC,BASE,10.8440176048,SOFA,CHAIR,5.98671366042,0.592836195836,4.26446774858,
3990,2,5,SHIP,CANOE,SAILOR,UMBRELLA,BANANA,CHAIR,CANOE,SHIP,TAXONOMIC,BASE,21.1003613253,CANOE,SHIP,19.9490770873,0.265453662956,0.885830575018,
3990,2,6,SHAMPOO,BLEACH,SHOWER,TEAM,SAUCE,CIRCLE,SHOWER,SHAMPOO,THEMATIC,BASE,54.4196194995,SHOWER,SHAMPOO,53.7701885686,0.131762601901,0.517668328946,
3990,2,7,MILK,LEMONADE,COW,GUITAR,LEAF,WINDOW,COW,MILK,THEMATIC,BASE,9.04750531854,COW,MILK,8.20956310548,0.16695557686,0.670986636193,
3990,2,8,POLICE,FIREMAN,HANDCUFFS,CARAVAN,CRAB,LAUNDRY,FIREMAN,POLICE,TAXONOMIC,BASE,18.2570747143,FIREMAN,POLICE,17.4527568857,0.524785254034,0.279532574583,
3990,2,9,CAMEL,ANTELOPE,DESERT,CORK,ENGINE,PAMPHLET,ANTELOPE,CAMEL,TAXONOMIC,BASE,31.1095258937,ANTELOPE,CAMEL,30.2683074517,0.225813809782,0.615404632175,
3990,2,10,COW,PIG,GRASS,CHISEL,PARCEL,HOTEL,PIG,COW,TAXONOMIC,BASE,5.21546435647,PIG,COW,4.36775172432,0.135112327407,0.712600304745,
3990,2,11,CAPTAIN,PILOT,SHIP,EAR,BENCH,FREEZER,PILOT,CAPTAIN,TAXONOMIC,BASE,42.4368971703,PILOT,CAPTAIN,40.7964146218,0.592290599132,1.04819194938,
