
Wed, 30 Sep 2015 10:05:04 AM,
4,0,1,9,
4019,2,1,OVEN,MICROWAVE,PAN,SCREEN,BASKETBALL,BOOT,OVEN,MICROWAVE,BASE,TAXONOMIC,21.0996889304,OVEN,MICROWAVE,PAN,MICROWAVE,PAN,PAN,MICROWAVE,6.17810190609,0.416969978251,7.05518340063,0.490334860049,0.365986811696,4.85462098569,1.03441761853,0.704073369503,
4019,2,2,POLICE,FIREMAN,HANDCUFFS,CARAVAN,CRAB,LAUNDRY,FIREMAN,POLICE,TAXONOMIC,BASE,10.5689729603,FIREMAN,POLICE,8.12482875609,0.316752666607,2.12739153765,
4019,2,3,HAPPY,SAD,SMILE,ROOF,SEED,KEY,HAPPY,SMILE,BASE,THEMATIC,4.2732519221,HAPPY,SMILE,2.63581021456,0.288680589525,1.34876111802,
4019,2,4,CAKE,DONUT,CANDLE,BROCHURE,LAKE,DRUM,CAKE,DONUT,BASE,TAXONOMIC,7.84417784074,CAKE,DONUT,6.43857401935,0.170564196073,1.23503962532,
4019,2,5,BOTTLE,CAN,BABY,CLOCK,BERRY,BELL,BOTTLE,CAN,BASE,TAXONOMIC,13.3960346901,BOTTLE,CAN,11.7784850819,0.311774758389,1.30577484984,
4019,2,6,FLY,ANT,WINGS,CEREAL,BUSINESS,CONCRETE,WINGS,FLY,THEMATIC,BASE,6.72431540536,WINGS,FLY,5.67891798378,0.321606093785,0.723791327793,
4019,2,7,MILK,LEMONADE,COW,GUITAR,LEAF,WINDOW,MILK,COW,BASE,THEMATIC,3.84301116387,MILK,COW,2.82317600842,0.149553093826,0.870282061631,
4019,2,8,SHAMPOO,BLEACH,SHOWER,TEAM,SAUCE,CIRCLE,SHOWER,SHAMPOO,THEMATIC,BASE,4.58023880445,SHOWER,SHAMPOO,2.0370787268,0.498397640651,2.044762437,
4019,2,9,CHISEL,KNIFE,SCULPTURE,HAMSTER,BOTTLE,MIRROR,KNIFE,CHISEL,TAXONOMIC,BASE,21.3442665664,KNIFE,KNIFE,KNIFE,CHISEL,5.01966399443,0.952936654445,13.2408998241,0.275182367768,1.85558372573,
4019,2,10,CRIB,BED,BABY,FERRY,BOWL,PATIO,CRIB,BABY,BASE,THEMATIC,18.1538754918,CRIB,BED,BED,BABY,13.6539863986,1.31096265395,2.01005016989,0.136823276291,1.04205299309,
4019,2,11,SHIP,CANOE,SAILOR,UMBRELLA,BANANA,CHAIR,SAILOR,SHIP,THEMATIC,BASE,7.1065403407,SAILOR,SHIP,4.32906931383,0.458526372444,2.31894465443,
4019,2,12,TOOTHBRUSH,COMB,FLOSS,CAKE,CUP,GLASSES,FLOSS,TOOTHBRUSH,THEMATIC,BASE,9.62202164787,FLOSS,TOOTHBRUSH,7.07447924977,0.573755870573,1.97378652752,
